Area_sqft,Bedrooms,Bathrooms,Floors,Parking,Age_Years,Nearby_Schools_km,Furnished,City,Price_Lakhs
1200,2,2,1,1,5,1.2,Yes,Ahmedabad,58
1800,3,3,2,2,3,0.8,Yes,Surat,92
950,2,1,1,0,10,2.5,No,Vadodara,40
2200,4,3,2,2,2,0.5,Yes,Rajkot,120
1500,3,2,1,1,7,1.8,No,Ahmedabad,70
3000,5,4,3,3,1,0.3,Yes,Surat,180
1100,2,2,1,1,8,2,No,Anand,50
2500,4,4,2,2,4,0.7,Yes,Ahmedabad,140
1300,3,2,1,1,6,1.5,No,Vadodara,65
1700,3,3,2,2,5,1,Yes,Surat,88
2100,4,3,2,2,3,0.9,Yes,Rajkot,115
900,1,1,1,0,12,3,No,Anand,35
1600,3,2,2,1,6,1.4,Yes,Ahmedabad,78
2800,5,4,3,3,2,0.4,Yes,Surat,165
1400,2,2,1,1,9,2.2,No,Vadodara,60
2400,4,3,2,2,4,0.6,Yes,Rajkot,130
1250,2,2,1,1,7,1.9,No,Ahmedabad,55
3200,5,5,3,3,1,0.2,Yes,Surat,210
1900,3,3,2,2,5,1.1,Yes,Ahmedabad,98
1000,2,1,1,0,11,2.8,No,Anand,42
